公司名称,产品型号,准入状态
福建省南安市华厦消防装备有限公司,10-65-30-涤纶长丝／涤纶长丝-聚氨酯(主型),有效
恒广消防科技有限公司,13-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
南京雨神消防工程设备有限公司,13-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
扬州市苏龙消防器材有限公司,25-80-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
川安消防实业有限公司,13-65-30-涤纶长丝／涤纶长丝-聚氨酯(主型),有效
安耐特消防装备有限公司,25-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
武汉市中团消防设备有限公司,8-50-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
广威消防科技有限公司,16-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
九江市浩川消防装备有限公司,25-80-40-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
扬州雨田消防器材有限公司,10-65-60-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
广东平安消防实业有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
劲源科技发展有限公司,13-65-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
上海雨迪安全科技有限公司,25-65-60-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
辽宁弘锦消防科技有限公司,20-80-30-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
福建省广龙消防阀门有限公司,8-65-25-涤纶长丝/涤纶长丝-聚氨酯(主型),有效
